time,X,Y,Z,rollDeg,pitchDeg,yawDeg,alphaDeg,betaDeg
19.7067,1051.66,-56.7318,-11083.3,-156.272,52.1295,-148.276,-0.272218,-0.114566
19.8734,1044.33,-61.4663,-11094.9,-150.543,60.2998,-140.725,-6.0145,-0.147755
20.0402,1037.77,-66.349,-11107.6,-143.815,64.1563,-133.484,-6.2933,0.268958
20.207,1032.17,-71.3889,-11121.2,-117.542,71.721,-105.922,-14.2212,0.69975
20.3742,1027.8,-76.5553,-11135.5,-89.6802,72.205,-77.8349,-17.4142,1.09856
20.5409,1024.9,-81.7823,-11150,-106.529,70.1762,-95.827,-6.12211,1.19624
20.7076,1022.77,-87.2768,-11165.1,-132.257,64.3228,-122.079,3.73558,0.402167
20.8743,1018.63,-93.2388,-11179.6,-146.062,58.2686,-135.198,3.11186,-0.74646
21.0409,1012.52,-99.3742,-11193.1,-152.797,54.2796,-141.167,1.79922,-1.32746
21.2076,1005.36,-105.397,-11205.7,-155.677,51.7459,-143.798,0.892964,-1.23062
21.3743,997.697,-111.252,-11217.5,-156.574,49.6909,-144.886,0.510198,-0.76034
21.541,989.734,-116.982,-11228.7,-156.806,47.5722,-145.458,0.4642,-0.27164
0.0333338,9.95478,1.82483e-06,-10000,-0.00012214,0.0152748,6.36088e-05,-0.175979,-3.16523e-05
0.200002,42.6529,0.00142507,-10000.2,-0.0349051,0.459076,0.0214967,-0.0871111,-0.0141282
0.366669,74.6271,0.0149548,-10000.7,-0.122351,1.17442,0.0835185,-0.0484685,-0.0404965
0.533337,105.898,0.0543021,-10001.6,-0.202238,1.92824,0.142086,-0.0366446,-0.0452311
0.700005,136.487,0.120725,-10002.9,-0.273983,2.69186,0.186196,-0.0269692,-0.0401087
0.866672,166.414,0.209328,-10004.5,-0.352375,3.4473,0.228637,-0.0221411,-0.0397519
1.03334,195.698,0.317299,-10006.5,-0.4323,4.17408,0.27101,-0.0209584,-0.0410532
1.20001,224.357,0.442973,-10008.8,-0.507321,4.86921,0.309115,-0.0196621,-0.04028
1.36668,252.409,0.583998,-10011.4,-0.57824,5.53656,0.342638,-0.0176867,-0.0387703
1.53334,279.874,0.737851,-10014.2,-0.646779,6.17676,0.373132,-0.0158902,-0.0378633
1.70001,306.767,0.902458,-10017.3,-0.712681,6.78896,0.40097,-0.0143734,-0.0372159
1.86668,333.117,1.0762,-10020.5,-0.713574,6.29714,0.402024,-0.368967,-0.00899485
2.03335,358.987,1.24787,-10023.4,-0.630044,6.09512,0.321009,-0.1523,0.0443566
2.20002,384.372,1.39778,-10026.2,-0.663494,6.4105,0.308757,-0.0494102,0.0129779
2.36668,409.275,1.5358,-10029.1,-0.746741,6.81566,0.35783,-0.0332895,-0.0355454
2.53335,433.705,1.67943,-10032.1,-0.796411,7.20227,0.396223,-0.0296536,-0.0447427
2.70002,457.676,1.83215,-10035.3,-0.819743,7.5994,0.405954,-0.0166505,-0.030831
2.86669,481.2,1.98869,-10038.5,-0.849602,8.01451,0.408366,-0.00451117,-0.022722
3.03335,504.289,2.14546,-10041.8,-0.892734,8.42139,0.417443,-0.000200619,-0.0250126
3.20002,526.954,2.30245,-10045.3,-0.937799,8.80023,0.429983,-0.000221987,-0.0286007
3.36669,549.207,2.46028,-10048.8,-0.977015,9.1506,0.439184,0.000460832,-0.0282627
3.53336,571.061,2.61847,-10052.4,-1.01122,9.47917,0.443453,0.00298163,-0.025507
3.70003,592.527,2.77582,-10056,-1.04371,9.78881,0.444882,0.00598379,-0.0231834
3.86669,613.614,2.93129,-10059.7,-1.07565,10.0782,0.445204,0.00842029,-0.0220701
4.03352,634.355,3.08444,-10063.5,-1.10625,10.3457,0.444484,0.010358,-0.0213835
4.20019,654.718,3.23454,-10067.2,-1.13451,10.5907,0.442073,0.0122872,-0.0203756
4.36695,674.746,3.38139,-10071,-1.1603,10.8142,0.437614,0.0144702,-0.0189562
4.53362,694.425,3.52434,-10074.8,-1.18393,11.017,0.431226,0.0168483,-0.0173993
4.70028,713.778,3.66297,-10078.6,-1.20569,11.1992,0.423173,0.0192742,-0.0159108
4.86695,732.811,3.79687,-10082.4,-1.22564,11.361,0.413611,0.0216798,-0.0145022
5.03362,751.536,3.92569,-10086.2,-1.24369,11.5022,0.402561,0.0240859,-0.0130875
5.20029,769.96,4.04911,-10090,-1.2598,11.6231,0.389997,0.0265382,-0.011601
5.36696,788.091,4.16685,-10093.7,-1.27395,11.7239,0.37592,0.0290596,-0.0100344
5.53362,805.938,4.27786,-10097.4,-4.19512,11.8045,0.359229,0.0310788,-0.01905
5.70029,823.509,4.37154,-10101.1,-8.02052,11.8679,0.325439,0.0339174,-0.059295
5.86696,840.809,4.4374,-10104.7,-10.3032,11.9384,0.242318,0.0502594,-0.080012
6.03363,857.842,4.46754,-10108.3,-8.0157,12.0579,0.0904674,0.0881003,-0.0605981
6.20029,874.611,4.47479,-10111.9,10.3108,12.2609,-0.063218,0.112764,0.129196
6.37411,891.817,4.51362,-10115.6,22.8914,12.4793,-0.053201,0.0928064,0.319882
6.54078,908.05,4.60617,-10119.1,30.5565,12.4468,0.140309,0.0169764,0.3317
6.70745,924.046,4.75583,-10122.6,50.5366,11.9973,0.313019,-0.171141,0.262999
6.87411,939.835,4.93172,-10125.8,67.5513,11.2046,0.17023,-0.369093,0.216525
7.04078,955.439,5.04312,-10128.7,72.9937,10.2245,-0.408607,-0.553454,0.199347
7.20745,970.868,4.98643,-10131.3,67.7455,9.02481,-1.33157,-0.703413,0.225779
7.37412,986.126,4.68203,-10133.6,64.3135,7.59427,-2.48032,-0.83033,0.206099
7.54097,1001.23,4.07473,-10135.4,62.1065,6.00099,-3.77932,-0.922067,0.186766
7.70763,1016.15,3.13525,-10136.8,60.7463,4.32131,-5.16449,-0.978444,0.187592
7.8743,1030.89,1.85084,-10137.8,59.9641,2.60484,-6.58998,-1.00717,0.206183
8.13068,1053.14,-0.854215,-10138.3,59.5236,-0.0567925,-8.80366,-1.0236,0.2455
8.29735,1067.37,-3.00087,-10138.1,59.5065,-1.79907,-10.2453,-1.03347,0.260681
8.46406,1081.39,-5.47467,-10137.5,59.6336,-3.55965,-11.6983,-1.04708,0.266229
8.63073,1095.17,-8.26826,-10136.5,59.8747,-5.34045,-13.1759,-1.06614,0.265856
8.79739,1108.72,-11.3784,-10135,60.2157,-7.13943,-14.6896,-1.08852,0.264026
8.96406,1122.02,-14.8025,-10133.1,60.6493,-8.95029,-16.2456,-1.11151,0.263672
9.13073,1135.05,-18.5381,-10130.8,61.1704,-10.7656,-17.8463,-1.13324,0.265586
9.2974,1147.81,-22.5827,-10128.1,63.6831,-12.5702,-19.4973,-1.15931,0.239594
9.46406,1160.28,-26.9436,-10125,74.5038,-14.1742,-21.3077,-1.20656,0.100515
9.63092,1172.47,-31.6553,-10121.6,82.6581,-15.4648,-23.3044,-1.25347,0.0893348
9.79768,1184.34,-36.7216,-10117.8,87.0908,-16.4934,-25.3857,-1.28461,0.171566
9.96435,1195.9,-42.1507,-10113.9,77.1109,-17.5668,-27.4448,-1.22776,0.503157
10.131,1207.13,-47.9031,-10109.7,67.7936,-19.0225,-29.3793,-1.17963,0.63238
10.2977,1218.02,-53.9345,-10105.1,60.1593,-20.8643,-31.2145,-1.1978,0.567205
10.4644,1228.55,-60.2106,-10100.2,53.9671,-23.0599,-32.9813,-1.26234,0.418374
10.631,1238.7,-66.6988,-10094.9,50.0315,-25.4747,-34.7166,-1.3227,0.26349
10.7977,1248.43,-73.3654,-10089.1,47.7583,-27.9462,-36.4418,-1.33954,0.168863
10.9644,1257.75,-80.1758,-10082.9,46.685,-30.3372,-38.1485,-1.30422,0.147003
11.131,1266.66,-87.0982,-10076.1,46.431,-32.564,-39.8067,-1.22927,0.175515
11.2977,1275.16,-94.1056,-10069,46.6928,-34.6027,-41.3844,-1.13705,0.220282
11.4644,1283.28,-101.176,-10061.4,47.2524,-36.4749,-42.8664,-1.04931,0.253526
11.631,1291.05,-108.293,-10053.5,47.1802,-38.226,-44.2599,-0.977645,0.272634
11.7977,1298.49,-115.437,-10045.2,42.2476,-39.9559,-45.5067,-0.911839,0.313485
11.9644,1305.62,-122.579,-10036.6,38.5231,-41.7175,-46.5665,-0.875025,0.266915
12.131,1312.46,-129.691,-10027.7,32.692,-43.4945,-47.4725,-0.843053,0.223377
12.2977,1319.01,-136.739,-10018.4,24.3117,-45.2904,-48.115,-0.805931,0.182268
12.4644,1325.32,-143.688,-10008.9,18.2818,-46.1966,-48.0765,0.0263401,0.0832186
12.631,1331.75,-150.666,-9999.32,11.7494,-39.787,-44.9417,3.42421,-0.37711
12.7977,1339.1,-158.029,-9990.81,6.77444,-33.8161,-42.4993,2.77705,-0.994284
12.9644,1347.2,-165.659,-9983.33,3.71572,-30.5765,-41.1561,1.70061,-1.19907
13.1311,1355.71,-173.363,-9976.48,2.22569,-29.1189,-40.5868,0.900141,-0.969119
13.2978,1364.44,-181.053,-9969.93,1.78073,-28.5017,-40.5497,0.505581,-0.522081
13.4658,1373.34,-188.789,-9963.48,1.82068,-28.1238,-40.7878,0.384572,-0.0913877
13.6333,1382.26,-196.509,-9957.12,1.91487,-27.7668,-41.0602,0.369879,0.171579
13.8,1391.15,-204.221,-9950.87,1.85483,-27.4522,-41.2231,0.348978,0.241421
13.9667,1400.06,-211.97,-9944.68,1.6327,-27.28,-41.2468,0.282053,0.17796
14.1335,1408.97,-219.737,-9938.53,1.34744,-27.3185,-41.1756,0.182246,0.0689164
14.3001,1417.87,-227.5,-9932.37,1.10981,-27.5619,-41.0786,0.0839202,-0.0158414
14.467,1426.76,-235.251,-9926.14,0.98369,-27.9466,-41.0105,0.0149371,-0.0463955
14.6337,1435.62,-242.963,-9919.85,0.973429,-28.3892,-40.9945,-0.0154679,-0.0288556
14.8003,1444.45,-250.642,-9913.47,1.04088,-28.8249,-41.0234,-0.0153758,0.0117797
14.967,1453.24,-258.293,-9906.99,1.13549,-29.2226,-41.074,-0.000585675,0.0500158
15.1337,1462.01,-265.923,-9900.44,1.21838,-29.5827,-41.1227,0.0143073,0.0709668
15.3003,1470.75,-273.535,-9893.8,1.27319,-29.923,-41.1558,0.0210631,0.0726668
15.4672,1479.47,-281.138,-9887.09,1.30356,-30.2638,-41.1712,0.018556,0.0619746
15.6338,1488.15,-288.717,-9880.3,0.109803,-30.6165,-41.1741,0.0110743,0.0456863
15.8005,1496.81,-296.281,-9873.45,-6.75948,-30.9797,-41.154,0.00218236,-0.0165467
15.9672,1505.43,-303.835,-9866.51,-12.1088,-31.3277,-41.1376,0.000235128,-0.103815
16.1338,1514.02,-311.382,-9859.49,-17.0456,-31.615,-41.1969,0.0256765,-0.156075
16.3005,1522.57,-318.935,-9852.41,-21.3348,-31.7901,-41.3922,0.086483,-0.17658
16.4672,1531.08,-326.516,-9845.29,-26.1197,-31.8171,-41.7689,0.171712,-0.175267
16.6338,1539.53,-334.164,-9838.15,-30.5853,-31.4474,-42.5159,0.537902,-0.189187
16.8005,1547.91,-342.07,-9831.21,-32.1303,-26.5263,-46.3778,3.34972,-0.38294
